hidden_layers,filters,num_epochs,batch_size,learning_rate,momentum,loss_func,data_scaling,activation_func,kernel_size,time,train_loss,validation_loss,test_loss,train_acc,validation_acc,test_acc
2,64,10,128,0.1,0.3,categorical_crossentropy,Normalize,relu,"(3, 3)",8.33677339553833,0.3372414066481232,0.3406375999933754,0.423033807084636,0.9133420586586,0.9032679796218872,0.8725653886795044
2,64,10,128,0.1,0.3,categorical_crossentropy,Normalize,relu,"(4, 4)",7.327439069747925,0.3492449739152423,0.3510337941786822,0.4353999323691006,0.9172661900520324,0.9189542531967164,0.8814691305160522
2,64,10,128,0.1,0.5,categorical_crossentropy,Normalize,relu,"(3, 3)",8.605209827423097,0.2565771108986584,0.2566829179821451,0.3532166692138581,0.926095485687256,0.930718958377838,0.8892598748207092
2,64,10,128,0.1,0.5,categorical_crossentropy,Normalize,relu,"(4, 4)",7.016497850418091,0.22980686388739266,0.2367048172779333,0.3066216351160687,0.9391759037971495,0.9372549057006836,0.914858102798462
2,64,10,128,0.1,0.9,categorical_crossentropy,Normalize,relu,"(3, 3)",8.448060274124147,0.05134205816422045,0.06656147834595318,0.1236361070490988,0.9843034744262696,0.9816993474960328,0.9582637548446656
2,64,10,128,0.1,0.9,categorical_crossentropy,Normalize,relu,"(4, 4)",6.811842918395996,0.06763734995217555,0.10156249831996712,0.13398635113051055,0.9839764833450316,0.9751634001731871,0.9588202834129332
2,64,10,128,0.5,0.3,categorical_crossentropy,Normalize,relu,"(3, 3)",8.006648778915405,0.07123963895909842,0.09452693280246524,0.1514342980387812,0.9793983101844788,0.9764705896377563,0.9493600726127625
2,64,10,128,0.5,0.3,categorical_crossentropy,Normalize,relu,"(4, 4)",6.447242736816406,0.07912046638450801,0.10040545944197506,0.14797498200567616,0.9787442684173584,0.9764705896377563,0.9532554149627686
2,64,10,128,0.5,0.5,categorical_crossentropy,Normalize,relu,"(3, 3)",7.832151651382446,1.188816291822804,1.1717937369751774,1.2410341952997377,0.6219751238822937,0.6261438131332397,0.6076794862747192
2,64,10,128,0.5,0.5,categorical_crossentropy,Normalize,relu,"(4, 4)",6.52322244644165,0.05277294758646375,0.0869188147603102,0.11733127455861952,0.9839764833450316,0.9830065369606018,0.9604896903038024
2,64,10,128,0.5,0.9,categorical_crossentropy,Normalize,relu,"(3, 3)",8.039686441421509,1.1501555880976315,1.1355098769555685,1.1774904668563329,0.6559842824935913,0.6614379286766052,0.644963800907135
2,64,10,128,0.5,0.9,categorical_crossentropy,Normalize,relu,"(4, 4)",7.201899528503418,0.9407858409625864,0.9561786258142758,1.021631965719466,0.6808371543884277,0.6483660340309143,0.6477462649345398
2,64,10,128,0.9,0.3,categorical_crossentropy,Normalize,relu,"(3, 3)",7.854440927505492,2.579904704097052,2.4827351947235905,2.655558289722661,0.20438194274902344,0.2496732026338577,0.2020033448934555
2,64,10,128,0.9,0.3,categorical_crossentropy,Normalize,relu,"(4, 4)",5.977614641189575,2.242225750510875,2.246217505760442,2.2427178292919283,0.16415958106517792,0.1581699401140213,0.15692821145057678
2,64,10,128,0.9,0.5,categorical_crossentropy,Normalize,relu,"(4, 4)",6.135478019714356,2.282630976545335,2.2877785311804884,2.282198840402933,0.16841073334217072,0.16078431904315948,0.17529214918613434
2,64,10,128,0.9,0.9,categorical_crossentropy,Normalize,relu,"(3, 3)",9.133553743362429,2.2705930093655194e+21,2.2262388145951744e+21,2.2712196077468737e+21,0.09548724442720412,0.11503268033266068,0.09682804346084596
2,64,10,128,0.9,0.9,categorical_crossentropy,Normalize,relu,"(4, 4)",5.5543529987335205,7.388640351622804e+19,7.18762438957638e+19,7.362896257614877e+19,0.09548724442720412,0.11503268033266068,0.09682804346084596
2,64,10,200,0.1,0.3,categorical_crossentropy,Normalize,relu,"(3, 3)",7.623185634613037,0.6102209588606581,0.6103032861659731,0.6880708064512869,0.8862001299858093,0.8705882430076599,0.8558709025382996
2,64,10,200,0.1,0.3,categorical_crossentropy,Normalize,relu,"(4, 4)",5.772650718688965,0.6107969167888984,0.6115268352764105,0.6646708413568814,0.8950294256210327,0.900653600692749,0.8747913241386414
2,64,10,200,0.1,0.5,categorical_crossentropy,Normalize,relu,"(3, 3)",7.621796131134032,0.3794630292664173,0.3734853368958617,0.4666944196241461,0.8976455330848694,0.9032679796218872,0.8675570487976074
2,64,10,200,0.1,0.5,categorical_crossentropy,Normalize,relu,"(4, 4)",5.632519721984862,0.374232847523736,0.38007101556834055,0.4420730974950191,0.9074558615684508,0.9045751690864564,0.8814691305160522
2,64,10,200,0.1,0.9,categorical_crossentropy,Normalize,relu,"(3, 3)",7.914184808731079,0.07870434527696543,0.09985513948634557,0.16662728891779996,0.97710919380188,0.97124183177948,0.9471341371536256
2,64,10,200,0.1,0.9,categorical_crossentropy,Normalize,relu,"(4, 4)",6.41393780708313,0.10673387498735523,0.1354052351045063,0.17910882706028858,0.9689339399337769,0.9660130739212036,0.9415692687034608
2,64,10,200,0.5,0.3,categorical_crossentropy,Normalize,relu,"(3, 3)",7.6961798667907715,0.10291467530030377,0.11862825950960708,0.16786294960575962,0.9702419638633728,0.9699346423149108,0.9449082016944884
2,64,10,200,0.5,0.3,categorical_crossentropy,Normalize,relu,"(4, 4)",6.988019227981567,0.12912585855777786,0.1549606214161792,0.2069793230106118,0.9594506025314332,0.9490196108818054,0.9337785243988036
2,64,10,200,0.5,0.5,categorical_crossentropy,Normalize,relu,"(3, 3)",8.368464946746826,2.063113387228228,2.066561210233401,2.072614410949138,0.3436886966228485,0.32810458540916443,0.33555927872657776
