hidden_layers,hiden_units,num_epochs,batch_size,learning_rate,momentum,loss_func,data_scaling,activation_func,time,train_loss,validation_loss,test_loss,train_acc,validation_acc,test_acc
1,50,10,128,0.1,0.3,categorical_crossentropy,Standardize,tanh,2.9940345287323,0.11864357958672637,0.1484702896545915,0.19371624597341536,0.9748201370239258,0.9620915055274963,0.9482470750808716
1,50,10,128,0.1,0.3,categorical_crossentropy,Normalize,tanh,4.09061074256897,0.9646933655710763,0.9803335973639893,1.005225690723328,0.8773708343505859,0.8640522956848145,0.8519755005836487
1,50,10,128,0.1,0.5,categorical_crossentropy,Standardize,tanh,2.618129014968872,0.09725948209229289,0.13061237936608153,0.18486491849663594,0.9787442684173584,0.9725490212440491,0.9449082016944885
1,50,10,128,0.1,0.5,categorical_crossentropy,Normalize,tanh,3.7051923274993896,0.6859928856026978,0.70188925422095,0.7370768527753763,0.922498345375061,0.9176470637321472,0.897607147693634
1,50,10,128,0.1,0.9,categorical_crossentropy,Standardize,tanh,2.7410354614257812,0.03365275376105402,0.08366253513818472,0.14724943410028882,0.9947678446769714,0.9751634001731873,0.9560378193855286
1,50,10,128,0.1,0.9,categorical_crossentropy,Normalize,tanh,4.73787784576416,0.16287107041569768,0.18341420268506006,0.23374386658320906,0.9601046442985535,0.9660130739212036,0.9298831224441528
1,50,10,128,0.5,0.3,categorical_crossentropy,Standardize,tanh,2.2939207553863525,0.045810857014164104,0.09976949431732589,0.1509592024422612,0.9921517372131348,0.9751634001731873,0.9510294795036316
1,50,10,128,0.5,0.3,categorical_crossentropy,Normalize,tanh,3.895068407058716,0.2005699328966122,0.21798673699689067,0.271048183482955,0.9486592411994934,0.9516339898109436,0.9232053160667419
1,50,10,128,0.5,0.5,categorical_crossentropy,Standardize,tanh,2.1848742961883545,0.028034879738907163,0.07984697917123246,0.13015017494097772,0.9970569014549255,0.9790849685668945,0.9599332213401794
1,50,10,128,0.5,0.5,categorical_crossentropy,Normalize,tanh,4.12525200843811,0.16067838169843873,0.17844714554501515,0.2277286275184745,0.9620667099952698,0.9620915055274963,0.9371173977851868
1,50,10,128,0.5,0.9,categorical_crossentropy,Standardize,tanh,2.458782196044922,0.0025589994696670008,0.07518118096856413,0.16620181951473667,1.0,0.9803921580314636,0.9571508169174194
1,50,10,128,0.5,0.9,categorical_crossentropy,Normalize,tanh,3.704132080078125,0.10701821426732466,0.12639261796778323,0.1855666062415774,0.9692609310150146,0.9660130739212036,0.9376739263534546
1,50,10,128,0.9,0.3,categorical_crossentropy,Standardize,tanh,2.64442777633667,0.031978027530847775,0.08310866707485486,0.12632127304218863,0.995421826839447,0.9777777791023254,0.9577072858810425
1,50,10,128,0.9,0.3,categorical_crossentropy,Normalize,tanh,8.65794062614441,0.14159038845154878,0.16110798855817396,0.20294092939290725,0.9666448831558228,0.9607843160629272,0.9449082016944885
1,50,10,128,0.9,0.5,categorical_crossentropy,Standardize,tanh,3.171661853790283,0.012800500636824095,0.0706184502812772,0.14998646468350652,0.9996730089187622,0.9830065369606018,0.9504730105400085
1,50,10,128,0.9,0.5,categorical_crossentropy,Normalize,tanh,4.783078670501709,0.13141481308394432,0.1518638257399883,0.19382726669344694,0.9682798981666565,0.9725490212440491,0.9454646706581116
1,50,10,128,0.9,0.9,categorical_crossentropy,Standardize,tanh,2.2407026290893555,0.0012168125041588126,0.10328953860835872,0.21795495468928974,1.0,0.9803921580314636,0.9577072858810425
1,50,10,128,0.9,0.9,categorical_crossentropy,Normalize,tanh,3.708301067352295,0.05518022010759484,0.08858421693732536,0.16696219663791312,0.9862655401229858,0.9764705896377563,0.9488035440444946
1,50,10,200,0.1,0.3,categorical_crossentropy,Standardize,tanh,2.530311346054077,0.1524180371613967,0.20224013360692006,0.23948620287126213,0.9702419638633728,0.9516339898109436,0.9332220554351807
1,50,10,200,0.1,0.3,categorical_crossentropy,Normalize,tanh,3.5399441719055176,1.4401167658437226,1.4492936059540393,1.4743320937944773,0.8420536518096924,0.8366013169288635,0.8363940119743347
1,50,10,200,0.1,0.5,categorical_crossentropy,Standardize,tanh,2.1790642738342285,0.12394750935919072,0.16288461329695447,0.19836618542322929,0.9751471281051636,0.9620915055274963,0.9432387351989746
1,50,10,200,0.1,0.5,categorical_crossentropy,Normalize,tanh,3.5748040676116943,1.0320346310218227,1.0451926285924475,1.0649738751588163,0.8963374495506287,0.8941176533699036,0.8792431950569153
1,50,10,200,0.1,0.9,categorical_crossentropy,Standardize,tanh,2.159878730773926,0.040092700062973816,0.09388158771824213,0.13448733406265265,0.9924787282943726,0.9738562107086182,0.9549248814582825
1,50,10,200,0.1,0.9,categorical_crossentropy,Normalize,tanh,3.2653961181640625,0.2816434980530299,0.3050635040780298,0.3440237976341163,0.9421190023422241,0.9464052319526672,0.913745105266571
1,50,10,200,0.5,0.3,categorical_crossentropy,Standardize,tanh,2.239133834838867,0.0619500498899531,0.1081630527729692,0.1536473740544222,0.9879006147384644,0.9699346423149109,0.9515859484672546
1,50,10,200,0.5,0.3,categorical_crossentropy,Normalize,tanh,5.234026670455933,0.266146897996774,0.289646859145632,0.33841529239796236,0.9463701844215393,0.9411764740943909,0.915414571762085
1,50,10,200,0.5,0.5,categorical_crossentropy,Standardize,tanh,2.009620189666748,0.05980150702246815,0.10880635978739246,0.15440399213510053,0.9885545969009399,0.9751634001731873,0.9493600726127625
1,50,10,200,0.5,0.5,categorical_crossentropy,Normalize,tanh,3.205142021179199,0.2269146800664923,0.25308145972248774,0.29766252653493974,0.9496402740478516,0.9490196108818054,0.918196976184845
1,50,10,200,0.5,0.9,categorical_crossentropy,Standardize,tanh,1.6945257186889648,0.03154107903729103,0.09554635152537254,0.18104606223998201,0.9901896715164185,0.9764705896377563,0.9565943479537964
1,50,10,200,0.5,0.9,categorical_crossentropy,Normalize,tanh,3.205198049545288,0.09740829959930822,0.12342697769111279,0.18986258020082414,0.9725310802459717,0.9699346423149109,0.9410127997398376
1,50,10,200,0.9,0.3,categorical_crossentropy,Standardize,tanh,3.2458155155181885,0.03381772148328485,0.081711947046269,0.1333605403880784,0.9960758686065674,0.9764705896377563,0.9565943479537964
1,50,10,200,0.9,0.3,categorical_crossentropy,Normalize,tanh,3.1575024127960205,0.1959651788127742,0.2122139264847718,0.26403249714795124,0.9532374143600464,0.9529411792755127,0.9237618446350098
1,50,10,200,0.9,0.5,categorical_crossentropy,Standardize,tanh,2.5756819248199463,0.021394311818930742,0.07291637055478455,0.13438740337674873,0.9977109432220459,0.9803921580314636,0.9577072858810425
1,50,10,200,0.9,0.5,categorical_crossentropy,Normalize,tanh,3.2855067253112793,0.1835180646146022,0.20756927475430606,0.25641763952452407,0.9542184472084045,0.9581699371337891,0.9259877800941467
1,50,10,200,0.9,0.9,categorical_crossentropy,Standardize,tanh,1.9951131343841553,0.005188590819774436,0.10736092442001392,0.20504428835915145,0.998691976070404,0.9777777791023254,0.9554813504219055
1,50,10,200,0.9,0.9,categorical_crossentropy,Normalize,tanh,3.066052198410034,0.09686496462538946,0.10835288990215929,0.18847985296164477,0.9708960056304932,0.9725490212440491,0.9365609288215637
1,50,10,300,0.1,0.3,categorical_crossentropy,Standardize,tanh,2.354966878890991,0.222506509020564,0.24985623938195844,0.30247071637467804,0.9493132829666138,0.9490196108818054,0.9254312515258789
