hidden_layers,hiden_units,num_epochs,batch_size,learning_rate,momentum,loss_func,data_scaling,activation_func,time,train_loss,validation_loss,test_loss,train_acc,validation_acc,test_acc
1,50,10,128,0.1,0.3,mean_squared_error,Standardize,relu,3.518568992614746,0.06449809238226917,0.06548068330568425,0.06634378589950937,0.5313930511474609,0.5150327086448669,0.5175291895866394
1,50,10,128,0.1,0.3,mean_squared_error,Normalize,relu,5.588609933853149,0.08999811925671318,0.09001765986478406,0.0900027229884431,0.10856769233942032,0.10196078568696976,0.10072343051433563
1,50,10,128,0.1,0.3,categorical_crossentropy,Standardize,relu,3.4143831729888916,0.08944970440482532,0.14995241926776037,0.1680421220427861,0.9784172773361206,0.9686274528503418,0.9454646706581116
1,50,10,128,0.1,0.3,categorical_crossentropy,Normalize,relu,5.775190830230713,1.2278770438357067,1.2440491490893895,1.2667611580659233,0.8711576461791992,0.8588235378265381,0.8452976942062378
1,50,10,128,0.1,0.5,mean_squared_error,Standardize,relu,3.9684665203094482,0.04791237599782261,0.05005776669367466,0.051365740443841575,0.7020928859710693,0.6692810654640198,0.6583194136619568
1,50,10,128,0.1,0.5,mean_squared_error,Normalize,relu,6.170932054519653,0.08929189039726831,0.08929214889512342,0.0892504817481232,0.20797906816005707,0.20130719244480133,0.21257652342319489
1,50,10,128,0.1,0.5,categorical_crossentropy,Standardize,relu,3.070038318634033,0.09948934073772518,0.1415473174522905,0.18580559620599515,0.974493145942688,0.9673202633857727,0.9404563307762146
1,50,10,128,0.1,0.5,categorical_crossentropy,Normalize,relu,5.569890737533569,0.7499621860181062,0.7642648442118776,0.790110672754119,0.9103989601135254,0.9032679796218872,0.8887034058570862
1,50,10,128,0.1,0.9,mean_squared_error,Standardize,relu,3.2804172039031982,0.010259846380093739,0.011673888365671136,0.014251810553471744,0.9529104232788086,0.9398692846298218,0.9170840382575989
1,50,10,128,0.1,0.9,mean_squared_error,Normalize,relu,5.987290859222412,0.08825288392345136,0.08831464055122114,0.08823514966481781,0.35546109080314636,0.3320261538028717,0.3455759584903717
1,50,10,128,0.1,0.9,categorical_crossentropy,Standardize,relu,2.3386640548706055,0.019796509630710103,0.09189139575350519,0.13145681147746852,0.9973838925361633,0.9790849685668945,0.9610461592674255
1,50,10,128,0.1,0.9,categorical_crossentropy,Normalize,relu,5.46870493888855,0.15994252157297065,0.18657648139724545,0.22991625779724545,0.9578155875205994,0.95686274766922,0.9248747825622559
1,50,10,128,0.5,0.3,mean_squared_error,Standardize,relu,2.9063382148742676,0.01369049355626457,0.015446253387513114,0.018378504871716748,0.9372138381004333,0.9333333373069763,0.8987200856208801
1,50,10,128,0.5,0.3,mean_squared_error,Normalize,relu,5.857064247131348,0.08896838565173688,0.08897209039895364,0.08900431218118089,0.22498364746570587,0.21437908709049225,0.2031162977218628
1,50,10,128,0.5,0.3,categorical_crossentropy,Standardize,relu,2.5555381774902344,0.03177915791024017,0.0796189298195874,0.11837183583580148,0.9944407939910889,0.9830065369606018,0.9632720947265625
1,50,10,128,0.5,0.3,categorical_crossentropy,Normalize,relu,6.71108341217041,0.22255924704653363,0.23732581718100443,0.2937229489477462,0.948986291885376,0.95686274766922,0.920979380607605
1,50,10,128,0.5,0.5,mean_squared_error,Standardize,relu,3.7553069591522217,0.01084506382801472,0.01186354105190368,0.015017417837380037,0.9447351098060608,0.9346405267715454,0.9059543609619141
1,50,10,128,0.5,0.5,mean_squared_error,Normalize,relu,5.994415998458862,0.08813424075620481,0.08813025895871368,0.08822160882125912,0.32177895307540894,0.32418301701545715,0.3116304874420166
1,50,10,128,0.5,0.5,categorical_crossentropy,Standardize,relu,2.6666574478149414,0.020379490072262137,0.0905904732401075,0.14323866696551865,0.9973838925361633,0.9816993474960327,0.9560378193855286
1,50,10,128,0.5,0.5,categorical_crossentropy,Normalize,relu,8.609058856964111,0.16383205880481017,0.18700651698837092,0.2363578948209401,0.961739718914032,0.9607843160629272,0.9354479908943176
1,50,10,128,0.5,0.9,mean_squared_error,Standardize,relu,2.5701324939727783,0.0031784902448736088,0.0050542321716575255,0.00767206154609126,0.9849575161933899,0.9725490212440491,0.9499165415763855
1,50,10,128,0.5,0.9,mean_squared_error,Normalize,relu,5.748539209365845,0.05342243432491881,0.0547353615606922,0.055414168737335345,0.7521255612373352,0.7411764860153198,0.7301057577133179
1,50,10,128,0.5,0.9,categorical_crossentropy,Standardize,relu,2.2011494636535645,0.29147217444237083,0.9795906625296218,1.9648909167884872,0.9820144176483154,0.97124183177948,0.9437952041625977
1,50,10,128,0.5,0.9,categorical_crossentropy,Normalize,relu,5.301809549331665,0.0789614074745936,0.10948203242097805,0.19083419336658022,0.9784172773361206,0.9725490212440491,0.9460211396217346
1,50,10,128,0.9,0.3,mean_squared_error,Standardize,relu,3.531975030899048,0.007525005185351682,0.009365796463357078,0.011387071531301217,0.9650098085403442,0.95686274766922,0.9348914623260498
1,50,10,128,0.9,0.3,mean_squared_error,Normalize,relu,5.8013832569122314,0.08692703736693817,0.08708437987986734,0.08717773126673553,0.6566383242607117,0.6222222447395325,0.6015581488609314
1,50,10,128,0.9,0.3,categorical_crossentropy,Standardize,relu,3.435379981994629,0.014249283129664867,0.09166826423914994,0.13323354422976147,0.9990189671516418,0.9790849685668945,0.9554813504219055
1,50,10,128,0.9,0.3,categorical_crossentropy,Normalize,relu,5.310352802276611,0.1529468078290504,0.17403874404095357,0.22514006333777026,0.9601046442985535,0.97124183177948,0.9309961199760437
